"target_vec";"kysymykset"
nan;"127|Nuoret on velvoitettava jatko-opintoihin tai työharjoitteluun suoraan peruskoulun jälkeen."
nan;"128|Kuntien tulee tarjota lasten päivähoidon varhaiskasvatus ilmaiseksi kaikille lapsille."
nan;"129|Kouluissa pitää olla vähintään kerran viikossa kasvisruokapäivä."
nan;"130|Kunnan tulee tukea kulttuuria antamalla tilojaan ilmaiseksi yhdistysten käyttöön."
nan;"131|Koulujen opetusryhmät ovat jo niin isoja, että oppiminen häiriintyy."
nan;"132|Vanhuksilla on oltava oikeus palvelukotipaikkaan, koska nykyinen kotihoito ei ole riittävää."
nan;"133|Nykyisten kuntatyöntekijöiden työpaikat on turvattava sote-uudistuksessa."
0.1;"134|Sosiaali- ja terveyspalveluiden toimivuus on tärkeämpää kuin sijainti."
nan;"135|Kunnallisten terveyspalveluiden yksityistäminen tuo palveluihin tehokkuutta ja säästää kustannuksia."
nan;"136|Avohoidon suosiminen mielenterveystyössä luo turvattomuuden tunnetta."
nan;"137|Kuntaveroa voidaan laskea roimasti, koska suuri osa tehtävistä siirtyy maakuntahallinnolle."
0.1;"138|Rakentamista on nopeutettava kansalaisten valitusoikeutta rajoittamalla."
0.25;"139|Yksityisautoilijoita suositaan liikaa kaavoitusratkaisuissa."
nan;"140|Kunnan pitää tukea yrityksiä tarjoamalla niille halpoja tontteja."
nan;"141|Ympäristö- ja luontoarvoista voidaan joustaa, jos siten voidaan lisätä työpaikkoja."
nan;"143|Oman kuntani tulee ottaa vastaan Suomesta turvapaikan saaneita."
nan;"144|Kirjastojen palveluista voisi periä vuosimaksun."
0.25;"145|Tulorajat kunnan vuokra-asunnoista on poistettava."
nan;"146|Kuntani käyttää liikaa rahaa urheilupaikkojen rakentamiseen ja ylläpitoon."
0.4;"147|Jokaisen pitää päästä palveluiden äärelle joukkoliikenteellä."
-1;"414|Helsingin tulee pikemmin hillitä kuin lisätä väestönkasvua."
-0.4;"415|Kävelykeskustaa voi laajentaa vain rakentamalla keskustatunnelin."
0.5;"416|Kaupunkibulevardien rakentamisessa pitää edetä mahdollisimman nopeasti"
0.25;"417|Helsinkiin pitää saada lisää asuntoja, vaikka viheralueita vähentämällä"
0.25;"418|Isot tapahtumat ja konsertit voisivat jatkua Helsingissä melusta huolimatta nykyistä pidempään"
nan;"201|Ennen ei ollut paremmin - suomalaisen elämäntavan muutokset ovat olleet hyvästä."
nan;"244|Tarvitsemme vahvaa johtajuutta, joka voi korjata ongelmat ilman tarvetta kompromisseille."
nan;"245|Lasten on tärkeämpää olla uteliaita ja itsenäisiä kuin hyvin käyttäytyviä ja tottelevaisia."
nan;"246|Pohjimmiltaan elämässä vallitsee resurssi- ja valtakilpailu, jossa ei pärjää ilman taistelua."
nan;"247|Yhteiskunnassamme olisi vähemmän ongelmia, jos ihmisiä kohdeltaisiin tasa-arvoisemmin."
nan;"248|Suomessa kaikilla on yhtäläiset mahdollisuudet rikkauteen ja onneen."
0.1;"1804|Pääkaupunkiseudun joukkoliikenteen pitää olla maksuton."
nan;"1805|Kunnan on työllistettävä pakolaiset hinnalla millä hyvänsä."
1;"1806|Kunnan pitää rajoittaa rakentamista haja-asutusalueilla."
nan;"1807|Kunnan tulee ruokapalveluissaan valita kotimaiset raaka-aineet aina kun niitä on saatavilla."
nan;"1808|Kuntani väestöpohja on liian pieni lakisääteisten tehtävien hoitamiseen."
nan;"1809|Kunnanvaltuutetun tärkein tehtävä on puolustaa oman äänestäjäkuntansa etuja."
nan;"1811|Sosiaali- ja terveyspalveluiden järjestäminen kuntalaisille onnistuu paremmin maakuntahallinnolta kuin kunnaltani itsenäisesti."
